,GPA Category,"How many classes do you miss per week due to alcohol reasons, (i.e: being hungover or too tired?)","On a night out, how many alcoholic drinks do you consume?",How often do you go out partying/socialising during the week? ,Cluster_hierarchy_4
339,Medium,0,1-3,Only weekends,4
341,Low,1,3-5,2,1
342,Very High,0,5-8,Only weekends,4
344,Low,1,1-3,Only weekends,4
345,Low,2,8+,3,1
346,Very High,0,3-5,1,4
347,High,2,8+,3,3
348,Medium,0,5-8,1,4
349,High,1,3-5,4+,1
353,Medium,1,5-8,2,1
354,Medium,0,3-5,Only weekends,4
355,Very High,0,1-3,2,3
356,Medium,0,1-3,4+,4
357,Very High,0,8+,3,2
358,Low,0,5-8,2,1
361,High,0,1-3,1,3
362,High,1,1-3,Only weekends,4
364,Medium,0,3-5,Only weekends,4
366,Medium,0,0,0,4
368,High,0,3-5,3,3
369,High,1,5-8,2,1
371,Low,0,3-5,Only weekends,4
372,Very High,2,8+,2,2
376,Very High,3,3-5,2,2
377,High,0,1-3,3,3
378,Low,2,8+,4+,1
380,Medium,0,3-5,Only weekends,4
381,Medium,0,1-3,1,4
383,Medium,1,5-8,1,2
384,Medium,0,1-3,1,4
385,Very High,2,3-5,3,2
387,Very High,0,0,1,4
388,Medium,1,1-3,1,3
392,Low,0,8+,4+,1
394,Medium,1,8+,2,2
395,Medium,4+,8+,4+,2
396,Medium,0,1-3,Only weekends,4
397,Very High,2,3-5,2,2
398,Low,0,1-3,Only weekends,4
402,Low,0,8+,1,1
